record_type	record_id	name_or_label	status	verification_verdict	evidence_count	evidence_kinds	needs_action
venue	vrec_0e3fbc1df29a	Vysshee Obrazovanie v Rossii = Higher Education in Russia	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_acc91aa8c82e	Pedagogical Education in Russia	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_70fb22abf41a	Professional Education in Russia and Abroad	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_15dcf89a2fc4	Higher Education in Russia and Beyond	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_d0d88b95355b	Высшее образование в России  (Vysshee obrazovanie v Rossii = Higher Education in Russia)	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_75b7c3cdbec1	RUDN Journal of Informatization in Education	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_4a1d18d27ebc	Social and cultural space of Russia and abroad society education language	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_dee7306fe58d	RUDN Journal of Language Education and Translingual Practices	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_0cb9eaf316d4	Physical Education and Sport Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_6ff73549ba95	Pedagogy Culture and Society	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_feb855760b1b	Technology Pedagogy and Education	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_0c287d99151e	Journal of Education for Teaching International Research and Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_3d4dd1a5358d	International Journal of Engineering Pedagogy (iJEP)	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_6e2c959129c5	The Review of Education Pedagogy & Cultural Studies	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_e4d7453781e2	Phenomenology + Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_2b8691204af8	Entrepreneurship Education and Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_28edafad909a	Journal of Curriculum and Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_3edc536a7139	Writing & Pedagogy	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_36c79c048b90	Higher Education	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_c90fa0570a9d	The Journal of Higher Education	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
venue	vrec_e76482906efd	Studies in Higher Education	provisional	keep_provisional	2	FACT_FROM_API_METADATA,FACT_FROM_API_METADATA	yes
