record_type	record_id	name_or_label	status	verification_verdict	evidence_count	evidence_kinds	needs_action
venue	vrec_631e9af0ade2	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ba5731b814fb	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_71c10a556ac6	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f6fe9c3b0823	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_e11fc6d8d131	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_825c9ac9ce3b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_d89b2e15bf6b	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1df8be3c4a71	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b7f381adb1e1	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_182fd30ce25f	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_22e0a58ee143	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_062ea0cb51c4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_9d28c769487c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_91228059ead3	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2127cab62563	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_826c1e4f1bf2	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c3582dbfafdc	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_6246cac9c715	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ffe333d9aa77	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_84b592ec00d8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_513c542af184	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_f4fcb7d3b13c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_43b0b4476829	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_bfe9a62ebf4c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a90d731e5f78	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_343fc2b1fc36	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ba5424473b82	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7dff95adf4c8	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2ffab471d2d2	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_4d286e4f74ed	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b5b1a5f24313	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_a057a62b591a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3063003d8743	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b53f19bd51c1	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_3efc6ec6938a	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0d82b483db3f	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0b924335a094	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_23e6fb139a34	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_264aca8e9871	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_72d0ad864084	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_ae24cfd970a3	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_516171351bd3	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_fb62588840ea	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_c64046acff11	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_b0233bf4e1a4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_1190a48ac21e	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_be7dd753a80b	Philosophy & Technology	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_08928c61f8d0	Test Venue	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_2f7b4ea8d4a4	Логос / Logos	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_7e84581a63a4	Journal of X	provisional	keep_provisional	1	llm_inference	yes
venue	vrec_0d227d01a41c	Journal of X	provisional	keep_provisional	1	llm_inference	yes
